1744291100.365089 server started (30499): version 3.5a, socket /tmp/tmux-1000/default, protocol 8
1744291100.365115 on Linux 6.13.9-100.fc40.x86_64 #1 SMP PREEMPT_DYNAMIC Sat Mar 29 01:27:18 UTC 2025
1744291100.365133 using libevent 2.1.12-stable poll
1744291100.365141 using ncurses 6.4 20240127
1744291100.365213 input_key_build: 0x10e003 (PasteStart) is \033[200~
1744291100.365221 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1744291100.365228 input_key_build: 0x10e195 (F1) is \033OP
1744291100.365235 input_key_build: 0x10e196 (F2) is \033OQ
1744291100.365243 input_key_build: 0x10e197 (F3) is \033OR
1744291100.365249 input_key_build: 0x10e198 (F4) is \033OS
1744291100.365256 input_key_build: 0x10e199 (F5) is \033[15~
1744291100.365263 input_key_build: 0x10e19a (F6) is \033[17~
1744291100.365270 input_key_build: 0x10e19b (F7) is \033[18~
1744291100.365277 input_key_build: 0x10e19c (F8) is \033[19~
1744291100.365284 input_key_build: 0x10e19d (F9) is \033[20~
1744291100.365291 input_key_build: 0x10e19e (F10) is \033[21~
1744291100.365298 input_key_build: 0x10e19f (F11) is \033[23~
1744291100.365332 input_key_build: 0x10e1a0 (F12) is \033[24~
1744291100.365339 input_key_build: 0x10e1a1 (IC) is \033[2~
1744291100.365346 input_key_build: 0x10e1a2 (DC) is \033[3~
1744291100.365353 input_key_build: 0x10e1a3 (Home) is \033[1~
1744291100.365360 input_key_build: 0x10e1a4 (End) is \033[4~
1744291100.365367 input_key_build: 0x10e1a5 (NPage) is \033[6~
1744291100.365378 input_key_build: 0x10e1a6 (PPage) is \033[5~
1744291100.365385 input_key_build: 0x10e1a7 (BTab) is \033[Z
1744291100.365392 input_key_build: 0x10e1a8 (Up) is \033[A
1744291100.365399 input_key_build: 0x10e1a9 (Down) is \033[B
1744291100.365406 input_key_build: 0x10e1aa (Left) is \033[D
1744291100.365413 input_key_build: 0x10e1ab (Right) is \033[C
1744291100.365420 input_key_build: 0x10e1ac (KP/) is /
1744291100.365427 input_key_build: 0x10e1ad (KP*) is *
1744291100.365434 input_key_build: 0x10e1ae (KP-) is -
1744291100.365441 input_key_build: 0x10e1af (KP7) is 7
1744291100.365448 input_key_build: 0x10e1b0 (KP8) is 8
1744291100.365455 input_key_build: 0x10e1b1 (KP9) is 9
1744291100.365462 input_key_build: 0x10e1b2 (KP+) is +
1744291100.365469 input_key_build: 0x10e1b3 (KP4) is 4
1744291100.365475 input_key_build: 0x10e1b4 (KP5) is 5
1744291100.365482 input_key_build: 0x10e1b5 (KP6) is 6
1744291100.365489 input_key_build: 0x10e1b6 (KP1) is 1
1744291100.365496 input_key_build: 0x10e1b7 (KP2) is 2
1744291100.365503 input_key_build: 0x10e1b8 (KP3) is 3
1744291100.365510 input_key_build: 0x10e1b9 (KPEnter) is \n
